"Story","Title","Result","Date","Stability","Duration (s)"
"Book Store","Verify on entering data to all textfield","SUCCESS","2021-07-13T10:35:06.476+07:00[Asia/Bangkok]","0.0","28.29"
"Book Store","Verify password field","SUCCESS","2021-07-13T10:35:38.613+07:00[Asia/Bangkok]","0.0","12.79"
"Book Store","Verify blank textfield","SUCCESS","2021-07-13T10:35:54.949+07:00[Asia/Bangkok]","0.0","12.18"
"Book Store","Successful Login with Valid Credentials","SUCCESS","2021-07-13T10:36:08.42+07:00[Asia/Bangkok]","0.0","12.47"
"Radio Button","Customer like yes the site","SUCCESS","2021-07-13T10:36:22.794+07:00[Asia/Bangkok]","0.0","10.77"
"Register to Book Store","Verify all data on textfield","SUCCESS","2021-07-13T10:36:34.509+07:00[Asia/Bangkok]","0.0","21.03"
"Register to Book Store","Verify recaptcha","SUCCESS","2021-07-13T10:36:57.599+07:00[Asia/Bangkok]","0.0","12.54"
"Search to Book Store","Verify all data on textfield","SUCCESS","2021-07-08T19:42:51.236+07:00[Asia/Bangkok]","0.0","14.94"
"Search","Verify all data on textfield","SUCCESS","2021-07-13T10:37:12.258+07:00[Asia/Bangkok]","0.0","9.55"
"ToolsQA","Verify on entering data to all textfield","SUCCESS","2021-07-08T10:26:24.718+07:00[Asia/Bangkok]","0.0","18.27"
"ToolsQA","Verify on empty all textfield","SUCCESS","2021-07-08T10:26:43.593+07:00[Asia/Bangkok]","0.0","18.95"
"ToolsQA","Verify fullName textfield","SUCCESS","2021-07-08T10:27:33.661+07:00[Asia/Bangkok]","0.0","18.73"
"TextBox","Verify on entering data to all textfield","SUCCESS","2021-07-13T10:37:23.049+07:00[Asia/Bangkok]","0.0","9.52"
"TextBox","Verify on empty all textfield","SUCCESS","2021-07-13T10:37:32.851+07:00[Asia/Bangkok]","0.0","8.39"
"TextBox","Verify email textfield","SUCCESS","2021-07-13T10:37:41.548+07:00[Asia/Bangkok]","0.0","10.04"
"TextBox","Verify fullName textfield","SUCCESS","2021-07-13T10:37:51.695+07:00[Asia/Bangkok]","0.0","9.42"
